Student_ID,Age,Gender,Region,Urban_Rural,School_Type,Subject_Stream,Matriculation_Score,Parent_Education_Level,Number_of_Siblings,Family_Monthly_Income_MMK,Internet_Access_At_Home,English_Proficiency_Level,Family_Member_University_Graduate,Test_Prep_Course,Extracurricular_Score,Distance_to_University_km,Scholarship_Applied,Scholarship_Received,Preferred_University_Type,Chosen_Field_of_Study,Enrollment_Status
STU006591,17,Male,Yangon,Urban,Government High School,Science,414.0,University Graduate,5,506000.0,No,Intermediate,Yes,No,2.1,9.120000000000001,No,No,Technological University,Engineering,Enrolled
STU008848,18,Female,Shan,Rural,Government High School,Arts,353.0,High School,1,348000.0,Yes,Beginner,No,Yes,4.8,11.6,Yes,No,Government University,Business & Economics,Enrolled
STU000322,18,Male,Shan,Urban,Private High School,Arts,427.0,University Graduate,3,1323000.0,Yes,Intermediate,Yes,No,7.9,1.2000000000000002,No,No,Government University,Business & Economics,Enrolled
STU002679,18,Male,Chin,Rural,Government High School,Arts,360.0,Middle School,3,386000.0,Yes,Advanced,No,Yes,8.6,48.1,No,No,Private University,Business & Economics,Enrolled
STU004626,18,Male,Yangon,Urban,Government High School,Arts,219.0,Middle School,0,381000.0,No,Beginner,No,Yes,5.7,24.44,No,No,Government University,Arts & Humanities,Enrolled
STU004950,18,Male,Kayin,Rural,Government High School,Science,302.0,High School,1,343000.0,Yes,Beginner,No,No,4.5,18.4,Yes,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU008329,19,Male,Sagaing,Urban,Government High School,Science,393.0,Primary School,3,819000.0,Yes,Intermediate,Yes,No,2.7,2.8000000000000003,No,No,Computer University,Computer Science,Enrolled
STU003338,19,Female,Sagaing,Urban,Government High School,Science,311.0,High School,2,508000.0,Yes,Intermediate,No,No,7.3,3.4000000000000004,No,No,Computer University,Computer Science,Enrolled
STU005590,18,Male,Bago,Urban,Government High School,Science,250.0,Middle School,2,439000.0,Yes,Intermediate,No,No,,3.8000000000000003,No,No,Computer University,Computer Science,Enrolled
STU000252,19,Male,Kayah,Rural,Government High School,Science,460.0,High School,4,202000.0,No,Advanced,Yes,No,5.2,10.0,No,No,Technological University,Engineering,Enrolled
STU003974,17,Male,Sagaing,Rural,Government High School,Arts,378.0,University Graduate,2,473000.0,No,Intermediate,No,Yes,6.5,3.5,No,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU006631,18,Female,Mandalay,Rural,International School,Science,350.0,High School,2,853000.0,No,Advanced,No,Yes,0.9,19.2,No,No,Government University,Nursing & Health Science,Enrolled
STU005548,18,Male,Bago,Urban,Government High School,Science,303.0,Postgraduate,2,374000.0,Yes,Beginner,No,No,7.2,9.32,Yes,No,Private University,Engineering,Enrolled
STU000036,17,Female,Kachin,Urban,Government High School,Arts,398.0,University Graduate,3,651000.0,Yes,Intermediate,No,No,5.2,33.480000000000004,Yes,Yes,University of Distance Education,Business & Economics,Enrolled
STU008363,18,Male,Yangon,Rural,International School,Science,300.0,High School,2,639000.0,No,Advanced,Yes,No,4.3,50.2,Yes,No,Private University,Natural Science,Enrolled
STU001514,18,Female,Shan,Rural,Government High School,Science,303.0,University Graduate,1,341000.0,No,Advanced,No,No,10.0,4.9,No,No,Government University,Natural Science,Enrolled
STU009318,17,Male,Yangon,Rural,Government High School,Science,218.0,Middle School,5,242000.0,Yes,Advanced,No,No,4.9,120.7,No,No,University of Distance Education,Natural Science,Enrolled
STU000040,18,Male,Mandalay,Urban,Government High School,Science,331.0,No Formal Education,2,383000.0,Yes,Intermediate,No,No,5.6,0.5,No,No,Government University,Engineering,Enrolled
STU004820,18,Male,Sagaing,Rural,Government High School,Arts,312.0,High School,3,345000.0,Yes,Intermediate,No,No,2.9,3.2,No,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU003466,18,Female,Mandalay,Urban,Government High School,Science,248.0,High School,1,477000.0,Yes,Beginner,No,Yes,5.0,11.68,No,No,University of Distance Education,Natural Science,Enrolled
STU001761,17,Male,Yangon,Rural,Private High School,Arts,279.0,No Formal Education,1,354000.0,Yes,Beginner,No,Yes,2.6,52.4,No,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU002305,18,Male,Kayin,Urban,Government High School,Science,326.0,Middle School,1,652000.0,Yes,Intermediate,Yes,Yes,5.3,6.48,No,No,Computer University,Computer Science,Enrolled
STU003724,18,Female,Naypyidaw,Rural,Government High School,Science,304.0,Middle School,4,332000.0,Yes,Intermediate,Yes,Yes,4.9,28.8,Yes,No,Government University,Natural Science,Enrolled
STU008285,17,Male,Yangon,Urban,Government High School,Arts,249.0,High School,1,560000.0,Yes,Advanced,No,No,8.7,23.8,No,No,University of Distance Education,Education,Enrolled
STU004994,18,Female,Mandalay,Urban,Government High School,Science,361.0,Primary School,1,366000.0,Yes,Intermediate,Yes,Yes,7.1,0.9199999999999999,No,No,Government University,Natural Science,Enrolled
STU008128,18,Male,Yangon,Rural,Private High School,Arts,309.0,Primary School,2,432000.0,No,Intermediate,No,Yes,6.9,35.3,No,No,Private University,Education,Enrolled
STU003033,17,Female,Tanintharyi,Rural,Government High School,Science,317.0,University Graduate,2,235000.0,Yes,Advanced,No,No,3.9,37.3,No,No,Private University,Nursing & Health Science,Enrolled
STU007939,17,Male,Bago,Rural,Government High School,Science,273.0,Primary School,4,747000.0,No,Beginner,No,No,5.4,40.3,Yes,No,Computer University,Computer Science,Enrolled
STU003040,18,Male,Bago,Urban,Government High School,Science,355.0,Middle School,2,276000.0,Yes,Intermediate,No,No,6.2,7.88,No,No,Government University,Natural Science,Enrolled
STU009656,19,Male,Naypyidaw,Urban,Government High School,Science,328.0,Primary School,3,295000.0,Yes,Advanced,No,Yes,3.3,33.72,Yes,No,Government University,Agriculture,Enrolled
STU002546,18,Male,Rakhine,Urban,Government High School,Science,429.0,High School,2,797000.0,Yes,Beginner,Yes,No,5.9,9.0,No,No,Technological University,Engineering,Enrolled
STU002593,18,Male,Rakhine,Urban,Private High School,Arts,297.0,Middle School,3,1467000.0,Yes,Intermediate,Yes,Yes,9.9,24.92,Yes,No,University of Distance Education,Education,Enrolled
STU001189,17,Male,Yangon,Urban,Government High School,Arts,256.0,Middle School,2,355000.0,Yes,Beginner,Yes,No,5.3,0.52,Yes,No,Private University,Education,Enrolled
STU007967,18,Female,Yangon,Rural,Government High School,Arts,244.0,High School,1,157000.0,Yes,Intermediate,No,Yes,3.8,32.0,No,No,University of Distance Education,Business & Economics,Enrolled
STU006078,18,Female,Yangon,Urban,Government High School,Science,410.0,High School,2,1298000.0,Yes,Intermediate,No,Yes,0.6,7.16,No,No,Technological University,Engineering,Enrolled
STU000108,17,Female,Mandalay,Urban,Government High School,Science,317.0,Middle School,2,308000.0,Yes,Advanced,No,No,3.5,1.8399999999999999,No,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU001316,18,Female,Ayeyarwady,Urban,Government High School,Science,,High School,2,443000.0,No,Advanced,No,No,3.7,13.36,No,No,Technological University,Engineering,Enrolled
STU008188,18,Male,Shan,Urban,Government High School,Science,339.0,Middle School,0,1796000.0,Yes,Beginner,No,No,1.7,7.800000000000001,Yes,No,University of Distance Education,Natural Science,Enrolled
STU002754,17,Male,Kayin,Rural,Government High School,Arts,390.0,High School,1,335000.0,Yes,Beginner,No,No,8.5,3.5,No,No,University of Distance Education,Arts & Humanities,Enrolled
STU009754,17,Female,Mandalay,Rural,Monastic Education School,Science,337.0,Middle School,1,340000.0,Yes,Beginner,No,Yes,4.6,23.2,No,No,Government University,Engineering,Enrolled
STU006232,18,Female,Magway,Urban,Government High School,Science,372.0,No Formal Education,3,1261000.0,Yes,Intermediate,Yes,Yes,5.0,1.0,No,No,Technological University,Engineering,Enrolled
STU002877,17,Female,Ayeyarwady,Rural,Government High School,Arts,279.0,Middle School,2,167000.0,Yes,,No,Yes,7.4,48.1,No,No,University of Distance Education,Law,Enrolled
STU005324,17,Female,Bago,Rural,Government High School,Arts,196.0,Middle School,3,484000.0,Yes,Intermediate,No,Yes,5.4,69.1,No,No,Private University,Business & Economics,Enrolled
STU000800,18,Male,Shan,Urban,Private High School,Arts,451.0,University Graduate,4,590000.0,Yes,Advanced,Yes,Yes,4.8,7.720000000000001,Yes,Yes,Government University,Education,Enrolled
STU003571,18,Female,Yangon,Urban,Government High School,Arts,338.0,University Graduate,2,339000.0,Yes,Intermediate,Yes,Yes,5.8,12.32,No,No,Private University,Business & Economics,Enrolled
STU002895,20,Male,Shan,Urban,Monastic Education School,Science,336.0,University Graduate,2,231000.0,Yes,Intermediate,Yes,No,6.1,0.5,Yes,No,Computer University,Computer Science,Enrolled
STU002928,18,Female,Kayah,Rural,Government High School,Science,367.0,University Graduate,4,207000.0,No,Beginner,No,No,7.9,3.3,No,No,Technological University,Engineering,Enrolled
STU008179,18,Female,Ayeyarwady,Urban,Monastic Education School,Science,315.0,University Graduate,0,611000.0,Yes,Intermediate,Yes,Yes,5.1,6.0,No,No,University of Distance Education,Natural Science,Enrolled
STU000972,17,Female,Kayin,Rural,Government High School,Arts,276.0,High School,2,246000.0,Yes,Intermediate,Yes,Yes,4.7,4.4,Yes,No,University of Distance Education,Education,Enrolled
STU006688,19,Female,Magway,Rural,Government High School,Science,351.0,High School,3,232000.0,Yes,Advanced,No,No,5.8,84.5,No,No,University of Distance Education,Nursing & Health Science,Enrolled
STU008576,18,Male,Yangon,Rural,Private High School,Science,323.0,Primary School,2,1842000.0,Yes,Advanced,No,No,8.2,87.8,No,No,Technological University,Engineering,Enrolled
STU002021,18,Female,Naypyidaw,Urban,Government High School,Arts,317.0,Middle School,0,,No,Advanced,No,No,3.4,12.08,No,No,Private University,Business & Economics,Enrolled
STU009055,19,Female,Naypyidaw,Urban,Monastic Education School,Science,,Postgraduate,3,,Yes,Beginner,No,No,5.3,0.5,Yes,No,University of Distance Education,Engineering,Enrolled
STU000953,17,Female,Ayeyarwady,Urban,Monastic Education School,Science,200.0,No Formal Education,1,222000.0,No,Beginner,No,No,6.7,20.96,No,No,Technological University,Engineering,Enrolled
STU005360,19,Male,Kayin,Rural,Private High School,Science,334.0,High School,5,568000.0,Yes,Beginner,No,Yes,7.0,41.8,Yes,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU003858,18,Male,Yangon,Rural,Government High School,Science,,High School,1,681000.0,Yes,Advanced,Yes,No,7.1,16.2,No,No,Medical University,Nursing & Health Science,Enrolled
STU005862,17,Female,Bago,Urban,Private High School,Science,255.0,High School,1,1107000.0,No,Advanced,No,Yes,1.5,2.3600000000000003,No,No,Computer University,Computer Science,Enrolled
STU003146,18,Female,Naypyidaw,Urban,Government High School,Science,373.0,Middle School,4,936000.0,No,Beginner,No,Yes,6.0,16.44,No,No,Technological University,Engineering,Enrolled
STU003306,17,Male,Ayeyarwady,Urban,Government High School,Science,307.0,University Graduate,4,822000.0,Yes,Intermediate,Yes,Yes,5.7,2.92,Yes,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU003007,18,Female,Kayin,Rural,Government High School,Science,394.0,High School,1,560000.0,Yes,Advanced,No,Yes,5.4,14.1,Yes,Yes,Technological University,Engineering,Enrolled
STU009002,17,Male,Yangon,Rural,Government High School,Arts,345.0,No Formal Education,3,,No,Intermediate,No,No,7.9,16.1,No,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU007771,17,Male,Mandalay,Rural,Government High School,Science,227.0,Middle School,3,178000.0,Yes,Advanced,Yes,No,7.2,75.1,No,No,Computer University,Computer Science,Enrolled
STU007439,17,Female,Shan,Urban,Government High School,Science,302.0,High School,0,881000.0,Yes,Intermediate,No,No,3.8,0.52,No,No,University of Distance Education,Natural Science,Enrolled
STU007943,18,Male,Sagaing,Urban,Private High School,Arts,419.0,High School,1,395000.0,Yes,Advanced,Yes,No,7.5,9.0,No,No,Government University,Business & Economics,Enrolled
STU009239,18,Male,Yangon,Urban,Government High School,Arts,266.0,University Graduate,2,,No,Advanced,No,Yes,2.1,2.84,Yes,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU001057,19,Female,Yangon,Rural,Government High School,Science,294.0,Middle School,3,593000.0,Yes,Intermediate,No,Yes,7.9,46.7,Yes,No,Technological University,Engineering,Enrolled
STU003155,17,Male,Kayah,Urban,Government High School,Science,440.0,High School,5,1196000.0,Yes,Beginner,No,No,9.1,9.32,Yes,No,Computer University,Computer Science,Enrolled
STU003788,17,Male,Mandalay,Urban,Government High School,Science,316.0,High School,3,381000.0,Yes,Intermediate,Yes,No,7.8,9.4,No,No,University of Distance Education,Engineering,Enrolled
STU009190,18,Male,Yangon,Rural,Government High School,Arts,232.0,High School,1,329000.0,Yes,Intermediate,Yes,Yes,2.9,45.0,No,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU007826,17,Male,Sagaing,Urban,Government High School,Science,376.0,High School,0,,No,Beginner,No,No,0.0,2.04,No,No,Technological University,Engineering,Enrolled
STU007540,17,Female,Yangon,Rural,Private High School,Arts,399.0,Middle School,2,236000.0,Yes,Advanced,No,No,7.8,8.9,No,No,Private University,Arts & Humanities,Enrolled
STU007232,17,Male,Ayeyarwady,Rural,Monastic Education School,Science,269.0,Middle School,2,832000.0,Yes,Intermediate,No,No,8.5,5.3,No,No,Technological University,Engineering,Enrolled
STU000765,19,Female,Bago,Urban,Government High School,Arts,395.0,University Graduate,2,359000.0,Yes,Beginner,No,Yes,1.1,18.32,No,No,Government University,Law,Enrolled
STU005020,18,Female,Yangon,Urban,Government High School,Science,242.0,High School,0,686000.0,Yes,Advanced,No,Yes,6.5,7.440000000000001,Yes,No,Private University,Natural Science,Enrolled
STU004904,19,Male,Mandalay,Rural,Government High School,Arts,217.0,University Graduate,3,216000.0,Yes,Intermediate,No,No,4.0,5.8,No,No,University of Distance Education,Education,Enrolled
STU008094,20,Female,Rakhine,Urban,Government High School,Arts,254.0,Middle School,4,930000.0,No,Beginner,No,No,5.5,39.68000000000001,No,No,Government University,Business & Economics,Enrolled
STU006844,17,Female,Bago,Rural,Private High School,Arts,391.0,High School,3,349000.0,Yes,Beginner,No,No,2.1,65.9,No,No,Government University,Arts & Humanities,Enrolled
STU002166,17,Female,Shan,Rural,Private High School,Science,370.0,University Graduate,2,459000.0,Yes,Intermediate,Yes,No,7.7,2.0,No,No,Medical University,Medicine,Enrolled
STU001863,20,Male,Sagaing,Urban,Government High School,Arts,391.0,,2,1673000.0,Yes,Intermediate,No,No,6.8,4.44,No,No,Private University,Business & Economics,Enrolled
STU007851,18,Female,Mandalay,Rural,Private High School,Arts,260.0,Middle School,2,547000.0,Yes,Intermediate,Yes,Yes,6.9,2.5,No,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU009124,17,Male,Mandalay,Rural,Government High School,Science,394.0,Primary School,1,248000.0,No,Advanced,No,Yes,5.9,8.9,Yes,No,Government University,Agriculture,Enrolled
STU002341,17,Male,Kachin,Urban,Monastic Education School,Arts,274.0,University Graduate,1,641000.0,No,Advanced,Yes,Yes,7.3,2.04,No,No,University of Distance Education,Arts & Humanities,Enrolled
STU005528,17,Male,Shan,Urban,Government High School,Arts,249.0,Primary School,0,537000.0,Yes,Advanced,Yes,Yes,6.4,27.24,Yes,No,Private University,Business & Economics,Enrolled
STU006744,17,Female,Chin,Urban,Government High School,Science,351.0,Middle School,1,747000.0,Yes,Intermediate,Yes,No,5.8,6.800000000000001,No,No,Technological University,Engineering,Enrolled
STU004004,17,Male,Kachin,Urban,Government High School,Arts,248.0,Middle School,1,897000.0,Yes,Intermediate,Yes,No,4.9,17.880000000000003,No,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU001124,17,Female,Magway,Rural,Government High School,Science,279.0,University Graduate,3,454000.0,Yes,Advanced,Yes,No,7.5,17.5,No,No,Government University,Engineering,Enrolled
STU008710,18,Female,Yangon,Rural,International School,Science,342.0,Middle School,2,2117000.0,No,Advanced,No,Yes,5.5,29.6,Yes,No,Government University,Engineering,Enrolled
STU004050,18,Male,Ayeyarwady,Urban,Monastic Education School,Arts,410.0,High School,3,592000.0,Yes,Beginner,No,No,3.4,2.0,No,No,University of Distance Education,Arts & Humanities,Enrolled
STU007641,17,Female,Mon,Rural,Monastic Education School,Arts,305.0,Primary School,1,473000.0,No,Intermediate,No,No,3.8,7.3,Yes,No,Private University,Business & Economics,Enrolled
STU000766,17,Male,Rakhine,Urban,Government High School,Science,340.0,Postgraduate,2,669000.0,No,Beginner,No,Yes,4.6,0.5,Yes,No,University of Distance Education,Nursing & Health Science,Enrolled
STU002345,18,Female,Chin,Rural,Government High School,Science,267.0,High School,2,1103000.0,No,Beginner,No,Yes,4.3,0.5,No,No,Computer University,Computer Science,Enrolled
STU004072,18,Male,Yangon,Rural,Government High School,Arts,301.0,No Formal Education,1,1109000.0,Yes,Intermediate,No,No,3.8,51.1,Yes,Yes,Private University,Arts & Humanities,Enrolled
STU007217,18,Male,Tanintharyi,Urban,Private High School,Arts,351.0,University Graduate,1,524000.0,Yes,Intermediate,No,No,5.8,2.2399999999999998,No,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU004217,18,Female,Naypyidaw,Rural,Government High School,Science,369.0,High School,0,543000.0,No,Intermediate,No,Yes,4.2,6.1,No,No,Private University,Engineering,Enrolled
STU007953,19,Female,Naypyidaw,Rural,Government High School,Science,363.0,University Graduate,3,385000.0,No,Beginner,No,No,7.0,69.3,No,No,Technological University,Engineering,Enrolled
STU005971,18,Male,Mandalay,Rural,Government High School,Science,348.0,University Graduate,1,226000.0,Yes,Beginner,Yes,No,8.1,33.3,Yes,Yes,Government University,Engineering,Enrolled
STU003351,17,Female,Rakhine,Rural,Government High School,Science,275.0,High School,0,383000.0,No,Intermediate,No,No,0.0,41.0,No,No,Government University,Agriculture,Enrolled
STU004696,18,Female,Kachin,Rural,Private High School,Arts,318.0,Primary School,3,337000.0,No,Intermediate,Yes,No,6.7,118.2,No,No,Government University,Arts & Humanities,Enrolled
STU003400,18,Female,Bago,Urban,Monastic Education School,Arts,248.0,High School,3,566000.0,Yes,Beginner,No,No,8.6,7.359999999999999,No,No,University of Distance Education,Arts & Humanities,Enrolled
STU004082,17,Female,Yangon,Urban,Government High School,Science,314.0,,1,1385000.0,Yes,Advanced,Yes,Yes,3.5,26.72,No,No,Computer University,Computer Science,Enrolled
STU009150,17,Female,Naypyidaw,Urban,Government High School,Arts,333.0,Primary School,2,387000.0,No,Intermediate,No,Yes,6.2,4.08,No,No,Private University,Business & Economics,Enrolled
STU001225,17,Male,Yangon,Rural,Government High School,Arts,314.0,University Graduate,0,193000.0,Yes,Advanced,No,Yes,5.1,2.0,No,No,University of Distance Education,Law,Enrolled
STU006293,19,Female,Kachin,Urban,Private High School,Arts,291.0,Middle School,3,1540000.0,Yes,Intermediate,No,Yes,4.8,11.280000000000001,No,No,Government University,Education,Enrolled
STU003123,17,Male,Sagaing,Urban,Government High School,Arts,321.0,Postgraduate,3,600000.0,Yes,Intermediate,Yes,No,6.4,1.2800000000000002,No,No,Private University,Business & Economics,Enrolled
STU000511,17,Female,Rakhine,Rural,Government High School,Science,377.0,High School,4,359000.0,Yes,Intermediate,No,No,3.9,17.4,No,No,Computer University,Computer Science,Enrolled
STU005795,18,Female,Tanintharyi,Rural,Government High School,Science,329.0,Primary School,2,264000.0,Yes,Advanced,Yes,Yes,4.5,15.3,No,No,Technological University,Engineering,Enrolled
STU008182,18,Female,Shan,Rural,Government High School,Science,335.0,University Graduate,0,203000.0,No,Beginner,No,Yes,5.5,3.3,Yes,No,University of Distance Education,Natural Science,Enrolled
STU009418,18,Female,Sagaing,Rural,Government High School,Arts,355.0,Middle School,3,348000.0,Yes,Intermediate,No,No,7.2,0.5,No,No,Private University,Education,Enrolled
STU000097,18,Female,Naypyidaw,Rural,Government High School,Science,339.0,University Graduate,3,635000.0,Yes,Intermediate,Yes,No,4.2,41.5,No,No,Government University,Nursing & Health Science,Enrolled
STU006682,19,Female,Rakhine,Urban,Monastic Education School,Arts,287.0,Middle School,1,407000.0,Yes,Intermediate,No,No,5.7,10.32,No,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU001513,18,Female,Yangon,Urban,Monastic Education School,Arts,259.0,High School,2,1392000.0,Yes,Beginner,Yes,Yes,6.4,1.64,No,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU008792,19,Male,Yangon,Urban,Government High School,Arts,220.0,Middle School,1,254000.0,Yes,Advanced,No,Yes,5.9,42.56,Yes,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU000120,18,Female,Yangon,Rural,Government High School,Arts,231.0,High School,0,596000.0,Yes,Intermediate,Yes,No,4.2,35.5,No,No,Government University,Law,Enrolled
STU007792,18,Male,Sagaing,Rural,Government High School,Arts,233.0,High School,3,204000.0,No,Beginner,No,Yes,4.3,12.1,No,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU006518,18,Female,Kayah,Urban,International School,Arts,390.0,High School,1,1057000.0,No,Advanced,No,Yes,1.5,6.48,No,No,University of Distance Education,Arts & Humanities,Enrolled
STU000034,18,Male,Yangon,Rural,Monastic Education School,Arts,274.0,University Graduate,3,235000.0,No,Intermediate,No,No,5.1,13.2,No,No,Private University,Business & Economics,Enrolled
STU007888,17,Male,Bago,Rural,Government High School,Arts,343.0,Middle School,4,323000.0,No,Intermediate,No,Yes,7.4,12.9,No,No,Private University,Arts & Humanities,Enrolled
STU006831,18,Female,Ayeyarwady,Rural,Government High School,Science,298.0,Primary School,3,148000.0,No,Intermediate,No,No,6.4,5.7,Yes,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU005422,18,Male,Sagaing,Urban,Government High School,Arts,244.0,Middle School,4,677000.0,Yes,Intermediate,Yes,Yes,9.2,21.6,No,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU001069,17,Male,Kayin,Rural,Government High School,Science,209.0,Primary School,1,196000.0,No,Beginner,No,No,7.4,34.9,No,No,Technological University,Engineering,Enrolled
STU001348,18,Male,Yangon,Rural,Monastic Education School,Science,208.0,Middle School,0,282000.0,No,Intermediate,Yes,Yes,4.0,13.2,No,No,Government University,Natural Science,Enrolled
